group,canonical_key,canonical_desc,vz22_id,vz31_id,vz34_id,folia_id,vz108,vz31,vz22,vz34,folia
Air holes,air_enabled,Vzduchove otvory (ano/nie),AirEnabled,,,,,,x,,,
Air holes,air_count,Pocet otvorov,,AirCount,AirCount,,,,,,
Air holes,air_edge,Vzduchovy otvor od okraja,AirEdge,AirEdge,AirEdge,,,,,,
Air holes,air_in_G_only,Vzduchove otvory len v zalozke,AirInGOnly,,,,,,,,
Air holes,air_pitch,Roztec otvorov,,AirPitch,AirPitch,,,,,,
Air holes,air_x_abs,Vzduchovy otvor od zalozky / prvy vzduchovy otvor od zalozky,AirXAbs,AirXAbs,AirXAbs,,,,,,
Air holes,air_x_auto,Vz. otvor v strede zalozky,,,AirXAuto,,,,,,
Holes/Notches,axis_in_K,Umiestnenie stredu otvorov (od vrecka),AxisInK,AxisInK,AxisInK,,,,,,
Dimensions,dim_bag_width,Pozadovana sirka vrecka,BagWidth,,,,,x,,,
Holes/Notches,hole_pitch_C,Vzdialenost zavesnych otvorov,Cpitch,Cpitch,Cpitch,,,,,,
Perforation,perf_enabled,Perforacia (ano/nie),PerfEnabled,,,,,,x,,,
Perforation,perf_finger_hole,Otvor na prst,,FingerHole,,,,,,,
Dimensions,dim_G,Spodna zalozka,G,G,G,,,,,,
Dimensions,dim_K,Chlopna,K,K,K,,,,,,
Dimensions,dim_L,Zakladny rozmer L (dlzka/sirka podla vzoru),L,L,L,L,x,,,,
Holes/Notches,notch_length,Dlzka zaseku,NotchLen,NotchLen,NotchLen,,,,,,
Perforation,perf_offset_P,Vzdialenost perforacie od spodnej zalozky,,,P,,,,,,
Perforation,perf_half_len,Dlzka vodorovnej casti,,PerfHalfLen,,,,,,,
Perforation,perf_offset,Vzdialenost od stredu,PerfOffset,PerfOffset,,,,,,,
Perforation,perf_shape,Tvar perforacie,,PerfShape,,,,,,,
Perforation,perf_side,Strana perforacie,PerfSide,PerfSide,,,,,,,
Perforation,perf_height,Vyska perforacie,,,Ph,,,,,,
Dimensions,dim_SEK,SEK (W + 60),,,Sek,,,,,,
Dimensions,side_handle,Bocna rucka,,,SideHandle,,,,,,
Dimensions,dim_W,Zakladny rozmer W (sirka/vyska podla vzoru),W,W,W,W,,,,,
Reference,ref_code_a,Cislo referencneho vzoru (cast A),refPartA,,,,x,x,x,x,x
Reference,ref_code_b,Cislo zmeny,refPartB,,,,x,x,x,x,x
Printing,lacquer_next_no,Lak v dalsom kroku = nie,,,,lacquerNo,,,,,
Printing,lacquer_next_yes,Lak v dalsom kroku = ano,,,,lacquerYes,,,,,
Bottom panel,bottom_text_1,Poznamky,bottomText1,bottomText1,bottomText1,,,,,,
Bottom panel,bottom_text_2,Poznamky technologa,bottomText2,bottomText2,bottomText2,,,,,,
Order,order_notes,Motiv / Ostatne poznamky,motivInput,motivInput,motivInput,motivInput,motivInput,,,,x
Photo mark,photo_height,Vyska fotoznaku,,,,photoH,,,,,
Photo mark,photo_note,Poznamka pod vykresom,,,,photoNote,,,,,
Photo mark,photo_width,Sirka fotoznaku,,,,photoW,,,,,
Order,order_serial,Poradove cislo vyrobku,porCislo,porCislo,porCislo,,x,x,x,x,x
Printing,print_ops,Pocet operacii tlace,,,,printOps,,,,,
Printing,print_side_bottom,Sposob tlace = spodna,printSide,,,printSideBottom,,,,,
Printing,print_side_top,Sposob tlace = vrchna,printSide,,,printSideTop,,,,,
Production,rezanie_yes,Rezanie = ano,rezanie-ano,rezanie-ano,rezanie-ano,,,,,,
Production,rezanie_no,Rezanie = nie,rezanie-nie,rezanie-nie,rezanie-nie,,,,,,
Roll,roll_final_toggle,Zobrazit finalny navin,,,,rollEnabled,,,,,
Roll,roll_final_code,Finalny navin - cislo,finalNavinNumber,,,rollType,,,,,
Roll,roll_final_variant,Finalny navin - varianta,finalNavinLetter,,,rollVariant,,,,,
Holes/Notches,notch_toggle,Zobrazit zaseky,toggle-notches,toggle-notches,toggle-notches,,,,,,
