"subor","pocet_riadkov"
"canonical key\canonyan_keys2_vz108.csv","46"
"css\folia.css","24"
"css\main.css","311"
"css\vz108.css","27"
"css\vz22.css","81"
"css\vz31.css","84"
"css\vz34.css","114"
"eps_editor.html","71"
"folia.html","235"
"img\logo.svg","91"
"index.html","79"
"index2.html","139"
"js\eps_editor.js","156"
"js\eps_fields.js","247"
"js\eps_import.js","83"
"js\eps_map.js","211"
"js\firms.json","41"
"js\firms-schema.json","74"
"js\folia.js","1215"
"js\index.js","581"
"js\index2.js","490"
"js\vz108.js","1549"
"js\vz22.js","1356"
"js\vz31.js","1378"
"js\vz34.js","1351"
"vz108.html","250"
"vz22.html","271"
"vz31.html","273"
"vz34.html","257"
"zalohyMD\012026\historia_2026-01.md","790"
"zalohyMD\2025\historia_2025.md","1525"
"zalohyMD\postup archivacie historia.md.txt","8"
