canonical_key,popis,vz22,vz31,vz34,folia,vz108
air_count,Pocet otvorov,,AirCount,AirCount,,
air_edge,Vzduchovy otvor od okraja,AirEdge,AirEdge,AirEdge,,
air_enabled,Vzduchove otvory (ano/nie),AirEnabled,,,,
air_in_G_only,Vzduchove otvory len v zalozke,AirInGOnly,,,,
air_pitch,Roztec otvorov,,AirPitch,AirPitch,,
air_x_abs,Vzduchovy otvor od zalozky / prvy vzduchovy otvor od zalozky,AirXAbs,AirXAbs,AirXAbs,,
air_x_auto,Vz. otvor v strede zalozky,,,AirXAuto,,
axis_in_K,Umiestnenie stredu otvorov (od vrecka),AxisInK,AxisInK,AxisInK,,
bottom_text_1,Poznamky,bottomText1,bottomText1,bottomText1,,
bottom_text_2,Poznamky technologa,bottomText2,bottomText2,bottomText2,,
dim_bag_width,Pozadovana sirka vrecka,BagWidth,BagWidth,BagWidth,L,PS
dim_C,Dno / kriz (C),,,,,C
dim_G,Spodna zalozka,G,G,G,,
dim_K,Chlopna,K,K,K,,
dim_L,Zakladny rozmer L (dlzka/sirka podla vzoru),L,L,L,,L
dim_SEK,SEK (W + 60),W,W,W,W,H
dim_W,Zakladny rozmer W (sirka/vyska podla vzoru),W,W,W,L,W
easy_open_bottom_offset,Vzdialenost easy open od spodnej zalozky,,,P,,
easy_open_finger_hole,Otvor na prst,,FingerHole,,,
easy_open_half_len,Dlzka vodorovnej casti easy open,,PerfHalfLen,,,
easy_open_height,Vyska easy open,,,Ph,,
easy_open_offset,Vzdialenost easy open od stredu,,PerfOffset,,,
easy_open_shape,Tvar easy open,,PerfShape,,,
easy_open_side,Strana easy open (P/L/prazdne),,PerfSide,,,
hole_pitch_C,Vzdialenost zavesnych otvorov,Cpitch,Cpitch,Cpitch,,
lacquer_next_no,Lak v dalsom kroku = nie,,,,lacquerNo,
lacquer_next_yes,Lak v dalsom kroku = ano,,,,lacquerYes,
notch_length,Dlzka zaseku,NotchLen,NotchLen,NotchLen,,
notch_toggle,Zobrazit zaseky,toggle-notches,toggle-notches,toggle-notches,,
order_notes,Motiv / Ostatne poznamky,motivInput,motivInput,motivInput,motivInput,motivInput
order_serial,Poradove cislo vyrobku,porCislo,porCislo,porCislo,porCislo,porCislo
perf_bottom_enabled,Perforacia dna (ano/nie),PerfEnabled,,,,
perf_bottom_offset,Vzdialenost perforacie dna od stredu,PerfOffset,,,,
perf_bottom_side,Strana perforacie dna,PerfSide,,,,
photo_height,Vyska fotoznaku,,,,photoH,
photo_note,Poznamka pod vykresom,,,,photoNote,
photo_width,Sirka fotoznaku,,,,photoW,
print_ops,Pocet operacii tlace,printOps,printOps,printOps,printOps,
print_side_bottom,Sposob tlace = spodna,printSide,printSide,printSide,printSideBottom,
print_side_top,Sposob tlace = vrchna,printSide,printSide,printSide,printSideTop,
ref_code_a,Cislo referencneho vzoru (cast A),refPartA,refPartA,refPartA,refPartA,refPartA
ref_code_b,Cislo zmeny,refPartB,refPartB,refPartB,refPartB,refPartB
rezanie_no,Rezanie = nie,rezanie-nie,rezanie-nie,rezanie-nie,,
rezanie_yes,Rezanie = ano,rezanie-ano,rezanie-ano,rezanie-ano,,
roll_final_code,Finalny navin - cislo,finalNavinNumber,,,rollType,
roll_final_toggle,Zobrazit finalny navin,,,,rollEnabled,
roll_final_variant,Finalny navin - varianta,finalNavinLetter,,,rollVariant,
seam_mode,Zlep (stred/kraj),,,,,seamMode
seg_bzp,BZP (bocna zalozka prava),,,,,BZP
seg_ps,PS (predna strana),,,,,PS
side_handle,Bocna rucka,,,SideHandle,,
