"block","order","eps_label","canonical_key","popis","vz22","vz31","vz34","folia","vz108"
"formular","1","Motiv","order_notes","Motiv / Ostatne poznamky","motivInput","motivInput","motivInput","motivInput","motivInput"
"formular","2","Nazov Por.c.vyrobku","order_serial","Poradove cislo vyrobku","porCislo","porCislo","porCislo","porCislo","porCislo"
"formular","3","Cislo referencneho vzoru","ref_code_a","Cislo referencneho vzoru (cast A)","refPartA","refPartA","refPartA","refPartA","refPartA"
"formular","4","Cislo zmeny","ref_code_b","Cislo zmeny","refPartB","refPartB","refPartB","refPartB","refPartB"
"formular","5","Sirka (pozadovana sirka vrecka)","dim_bag_width","Pozadovana sirka vrecka","BagWidth","BagWidth","BagWidth","L","PS"
"formular","6","Dlzka (L)","dim_L","Zakladny rozmer L (dlzka/sirka podla vzoru)","L","L","L","","L"
"formular","7","BocZalozka","seg_bzp","BZP (bocna zalozka prava)","","","","","BZP"
"formular","8","raport","","","","","","",""
"formular","9","Sek","dim_SEK","SEK (W + 60)","W","W","W","W","H"
"formular","10","dutinka","","","","","","",""
"formular","11","Spodna zalozka","dim_G","Spodna zalozka","G","G","G","",""
"formular","12","vrchna zalozka","","","","","","",""
"formular","13","Chlopna","dim_K","Chlopna","K","K","K","",""
"formular","14","Farba rucky","","","","","","",""
"formular","15","Farba tasky","","","","","","",""
"formular","16","Perforacia dna","perf_bottom_enabled","Perforacia dna (ano/nie)","PerfEnabled","","","",""
"formular","17","vzduchove otvory","air_enabled","Vzduchove otvory (ano/nie)","AirEnabled","","","",""
"formular","18","vzdialonost otvoro zaves","hole_pitch_C","Vzdialenost zavesnych otvorov","Cpitch","Cpitch","Cpitch","",""
"formular","19","sterilizacia","","","","","","",""
"formular","20","Typ pl zvar","","","","","","",""
"formular","21","Typ chlopna","","","","","","",""
"formular","22","Easy open strana","easy_open_side","Strana easy open (P/L/prazdne)","","PerfSide","","",""
"formular","22.1","Easy open tvar","easy_open_shape","Tvar easy open","","PerfShape","","",""
"formular","23","Vzduchove otvory pocet","air_count","Pocet otvorov","","AirCount","AirCount","",""
"formular","24","Rucka","","","","","","",""
"formular","25","Bocna rucka","side_handle","Bocna rucka","","","SideHandle","",""
"formular","26","Dlzka bocna rucky","","","","","","",""
"formular","27","fotobunka","photo_note","Poznamka pod vykresom","","","","photoNote",""
"formular","28","rozmer fotoznaku","photo_width","Sirka fotoznaku","","","","photoW",""
"formular","29","rozmer fotoznaku (vyska)","photo_height","Vyska fotoznaku","","","","photoH",""
"formular","30","Finalny navin","roll_final_code","Finalny navin - cislo","finalNavinNumber","","","rollType",""
"formular","31","variant","roll_final_variant","Finalny navin - varianta","finalNavinLetter","","","rollVariant",""
"formular","32","Sposob tlace - spodna","print_side_bottom","Sposob tlace = spodna","printSide","printSide","printSide","printSideBottom",""
"formular","33","Sposob tlace - vrchna","print_side_top","Sposob tlace = vrchna","printSide","printSide","printSide","printSideTop",""
"formular","34","Pocet operacii","print_ops","Pocet operacii tlace","printOps","printOps","printOps","printOps",""
"formular","35","Lak v dalsom kroku - ano","lacquer_next_yes","Lak v dalsom kroku = ano","","","","lacquerYes",""
"formular","36","Lak v dalsom kroku - nie","lacquer_next_no","Lak v dalsom kroku = nie","","","","lacquerNo",""
"ostatne","1","","air_edge","Vzduchovy otvor od okraja","AirEdge","AirEdge","AirEdge","",""
"ostatne","2","","air_in_G_only","Vzduchove otvory len v zalozke","AirInGOnly","","","",""
"ostatne","3","","air_pitch","Roztec otvorov","","AirPitch","AirPitch","",""
"ostatne","4","","air_x_abs","Vzduchovy otvor od zalozky / prvy vzduchovy otvor od zalozky","AirXAbs","AirXAbs","AirXAbs","",""
"ostatne","5","","air_x_auto","Vz. otvor v strede zalozky","","","AirXAuto","",""
"ostatne","6","","axis_in_K","Umiestnenie stredu otvorov (od vrecka)","AxisInK","AxisInK","AxisInK","",""
"ostatne","7","","bottom_text_1","Poznamky","bottomText1","bottomText1","bottomText1","",""
"ostatne","8","","bottom_text_2","Poznamky technologa","bottomText2","bottomText2","bottomText2","",""
"ostatne","9","","dim_C","Dno / kriz (C)","","","","","C"
"ostatne","10","","dim_W","Zakladny rozmer W (sirka/vyska podla vzoru)","W","W","W","L","W"
"ostatne","11","","notch_length","Dlzka zaseku","NotchLen","NotchLen","NotchLen","",""
"ostatne","12","","notch_toggle","Zobrazit zaseky","toggle-notches","toggle-notches","toggle-notches","",""
"ostatne","13","","easy_open_finger_hole","Otvor na prst","","FingerHole","","",""
"ostatne","14","","easy_open_half_len","Dlzka vodorovnej casti easy open","","PerfHalfLen","","",""
"ostatne","15","","easy_open_height","Vyska easy open","","","Ph","",""
"ostatne","16","","easy_open_offset","Vzdialenost easy open od stredu","","PerfOffset","","",""
"ostatne","17","","easy_open_bottom_offset","Vzdialenost easy open od spodnej zalozky","","","P","",""
"ostatne","18","","perf_bottom_offset","Vzdialenost perforacie dna od stredu","PerfOffset","","","",""
"ostatne","19","","perf_bottom_side","Strana perforacie dna","PerfSide","","","",""
"ostatne","20","","rezanie_no","Rezanie = nie","rezanie-nie","rezanie-nie","rezanie-nie","",""
"ostatne","21","","rezanie_yes","Rezanie = ano","rezanie-ano","rezanie-ano","rezanie-ano","",""
"ostatne","22","","roll_final_toggle","Zobrazit finalny navin","","","","rollEnabled",""
"ostatne","23","","seam_mode","Zlep (stred/kraj)","","","","","seamMode"
"ostatne","24","","seg_ps","PS (predna strana)","","","","","PS"
