section;field_id;field_label;control_type;help_enabled;help_text;poznamka
Zaklad;btn-load;Nacitat ulozeny TV;button;yes;nacita uz vytvoreny TV - napriklad pri zmene;
Zaklad;motivInput;Motiv;text;no;;
Hlavicka;refPartA;Cislo referencneho vzoru - cast A;text;no;;
Hlavicka;refPartB;Cislo zmeny;text;no;;
Hlavicka;porCislo;Por. cislo vyrobku;text;no;;
Hlavicka;finalNavinNumber;Finalny navin - cislo;select;no;;
Hlavicka;finalNavinLetter;Finalny navin - varianta;select;no;;
Hlavicka;printSide;Sposob tlace;select;yes;"pri spodnej tlaci otoci vykres pre pohlad ""cez foliu""";
Hlavicka;printOps;Pocet operacii;select;yes;pocet operacii po potlaceni = 0 bez rezania do vreckarne;
Hlavicka;btnOpenFirmManager;Firmy (sprava);button;no;;
Zakladne rozmery;BagWidth;Pozadovana sirka vrecka;number;yes;pozadovana sirka hotoveho vrecka;
Zakladne rozmery;L;Dlzka (L);number;no;;
Zakladne rozmery;W;Sek (W);number;no;;
Zakladne rozmery;G;Spodna zalozka (G);number;yes;niekedy aj rucka;
Zakladne rozmery;K;Chlopna (K);number;no;;
Zavesne otvory;Cpitch;Vzdialenost zavesnych otvorov;number;no;;
Zavesne otvory;AxisInK;Umiestnenie stredu otvorov (od vrecka);number;yes;umiestnenie na chlopni od vrecka;
Zaseky;NotchLen;Dlzka zaseku;number;no;;
Zaseky;toggle-notch-shift;Zaseky posunute;checkbox;yes;nie su v jednej rovine so stredom otvorov;
Zaseky;NotchShift;Posun zasekov;number;yes;minus do vnutra, plus vonku;
Zaseky;Mostik;Mostik;number-readonly;yes;miesto medzi zasekom a otvorom;
Zaseky;toggle-notches;Zobrazit zaseky;checkbox;no;;
Vzduchove otvory;AirEnabled;Vzduchove otvory;select;no;;
Vzduchove otvory;AirEdge;Vzduch. otvor od okraja;number;no;;
Vzduchove otvory;AirXAbs;Prvy vzduch. otvor od rucky;number;no;;
Vzduchove otvory;AirType;Typ vzduchovych otvorov;select;no;;
Vzduchove otvory;AirInGOnly;Otvory len v zalozke;checkbox;yes;len v spodnej zalozke;
Perforacia;PerfEnabled;Perforacia;select;no;;
Perforacia;PerfSide;Strana perforacie;select;yes;na hotovom zavesenom vrecku;
Perforacia;PerfOffset;Odsadenie perforacie;number;no;;
Bokorys;SideClipView;Zavesna spona v bokoryse;select;no;;
Text a koty;noteMode;Druh vrecka;select;no;;
Text a koty;fontPx;Velkost textu;range;no;;
Text a koty;toggle-grid;Mriezka;checkbox;no;;
Text a koty;bottomText1;Text hore;text;no;;
Text a koty;bottomText2;Text dole;text;no;;
Text a koty;bottomText1Size;Velkost textu hore;number;no;;
Text a koty;bottomText1Bold;Tučne hore;checkbox;no;;
Text a koty;bottomText1Italic;Kurzíva hore;checkbox;no;;
Text a koty;bottomText1Color;Farba textu hore;color;no;;
Text a koty;bottomText2Size;Velkost textu dole;number;no;;
Text a koty;bottomText2Bold;Tučne dole;checkbox;no;;
Text a koty;bottomText2Italic;Kurzíva dole;checkbox;no;;
Text a koty;bottomText2Color;Farba textu dole;color;no;;
Podklad;bgFile;Podkladovy obrazok;file;no;;
Podklad;bgWidth;Sirka podkladu (mm);number;no;;
Podklad;bgHeight;Vyska podkladu (mm);number;no;;
Podklad;bg-rot-left;Otocit -90;button;no;;
Podklad;bg-rot-180;Otocit 180;button;no;;
Podklad;bg-flip;Zrkadlit horiz.;button;no;;
Podklad;bgOpacity;Priehladnost podkladu;range;no;;
Podklad;bg-calib;Kalibracia podkladu;button;yes;ak nesedi importovany obrazok, uprava mierky;
Podklad;bg-calib-cancel;Zrusit kalibraciu;button;no;;
Podklad;bg-clear;Vymazat obrazok;button;no;;
Export;saveBtn;Ulozit TV;button;no;;
Export;loadBtn;Nacitat TV;button;no;;
Export;undoBtn;Spat;button;no;;
Export;redoBtn;Dopredu;button;no;;
Export;exportSize;Format exportu;select;no;;
Export;exportOrient;Orientacia exportu;select;no;;
Export;exportDPI;DPI exportu;select;no;;
Export;printBtn;Export PNG;button;no;;
